Episode,Day,Speaker,Text
2,4,Ramona,"At this point, no one wants to have a confrontation with him, so, it's like, whatever B.B. says, it's like “Okay, B.B., yeah. Whatever you want!” And, I don't know, I guess, honestly, if we were to ever to lose an Immunity Challenge I think he'd probably be the first one voted off."
2,4,Richard,"Rudy and I − it's an interesting dynamic because if he knew I were gay that would be probably really difficult for him, I think. Seventy two years old, Navy vet. I think it would just freak him. But, he doesn't, as far as I know, know that, and I think he feels comfortable talking to me. I'm certainly comfortable talking to him. He's an interesting character."
2,4,Richard,"As people get to know me, they learn who I am and then eventually, over time, find out I'm gay. I've never once in my life encountered prejudice based on my being homosexual."
2,4,Rudy,"I was big-mouthing the whole time coming over here about being with homosexuals and lesbians. So I found out last night, you know. When he came up here he said, uh, “You want to talk?” I says, “No, I don't want to talk.” And he was going to tell me he was queer then. The homosexual, he's one of the nicest guys I ever met and he's good at what he does, you know. He's got leadership ability, and if these people here would listen to him, he would take them a long way. But anyway, uh, me and Richard got to be pretty good friends... not in a homosexual way, that's for sure. He's a pretty good guy. I don't know what my buddies are going to say when I get home but, uh, I'll have to deal with that."
2,4,Ramona,"I'm very, very finicky and as hungry as I am, if I really... if I eat that I'm going to throw it up. And I'd rather them eat it and be able to swallow it and digest it than me waste it, so... I mean, I'll just drink water, try to compensate."
2,4,Gervase,"Ramona's hurting big-time. You know, I feel bad for her, 'cause she wants so hard to, you know, get into the mix of things and help out and do her job, do her part, but she's just not feeling well."
2,4,Gretchen,"I don't think this is what she expected. I don't think she'd ever quit. I think she doesn't even want to admit that she's laying down a lot, but, um, I think it's only because she doesn't want to say that she can't be successful or something, 'cause I think she... I think at home she's very successful at what she does."
2,4,B.B.,"Well... I think the work ethic problem is − doesn't ever change. I mean, the people who work are working, and the people who rest are resting and that's... that's the way it is about 80, 85% of the time. The laziest person is Ramona. I mean, she just doesn't contribute anything. She probably hasn't worked 10 or 15 minutes in 5 Days. I mean, she's really a drag because she drinks our water, takes our... eats our food and takes room in the hutch."
2,4,Gervase,"He's such a hard worker. If you're not working as hard as him you're not working hard. I think it's just that simple. I feel everybody's been pulling their weight here. Nobody's been slacking. I mean, people have been sick. People have been hurting and I don't expect them to work."
2,4,Greg,B.B.'s a good guy. He's pretty strong-willed and he's got his plan as well. He's caring. He demands respect. Definitely feels the difference between his age and other people and doesn't seem to want to bridge that gap as much as just be who he is.
2,4,B.B.,"I think they find me, probably, abrasive, authoritarian. There's probably a couple other adjectives you could throw in there that probably work, too. I don't care. I'm not trying to win a personality contest. I just want to make my life here as comfortable as possible and then get the hell off."
2,5,Ramona,"Well, the whole Colleen-and-Greg thing − I don't know what's going on, what's not going on, but I kind of noticed like a couple of times they went off for fruit or whatever."
2,5,Greg,Colleen and I share a similar way of looking at everything that's happening.
2,5,Colleen,"Greg is great. It's just good to have a friend, you know. Sometimes, when you come to a country − a foreign country − a lot of times you're really nervous about all the mysteries that are there. You know, you hear about malaria. You hear about this, you hear about that. Like him, like walking around barefoot and picking up things and whatever, you feel a lot more comfortable, and the place becomes more your home."
2,5,Greg,"She's really fun to play with because she's fun, energetic. She's uh, rough and ready."
2,5,Colleen,"It's just, like, I'm actually making a friend out here, which I didn't think was really possible."
2,5,Ramona,"Greg and Colleen − they had disappeared again. And we were like, “Where are they?” I mean, they were gone for, like, an hour. You know, they come back and we had no idea where they'd gone, what they'd done, until that night, you know, they were like “Okay, we're going to have game night.” And we played the “All-New Newly Stranded Survivor Game.” (14:30 → 14:44 = 14s)"
2,5,Ramona,"Basically, it was kind of like a newlywed game. Team one was Gretchen and B.B. Team two was myself, Jenna and Gervase, and then, the third team was Colleen and Joel."
2,5,Ramona,"And so, of course, Greg was the host and he's just so wacky. I love this guy. Like, no matter what, he will have you laughing at least, like, five times a day. That is such a relief to have somebody there that's, like, the icebreaker."
2,6,Gretchen,"When we first got here, we started arguing, B.B. and I, about where to put the shelter and I thought it should be up in the canopy, you know, out of the sun and with some protection, and he thought it should be down on the beach. This morning we woke up and we saw that the moon was not yet full and high tide came almost to our doorstep. (16:27 → 16:40 = 13s)"
2,6,Gretchen,"We started bringing logs down and keep the waves from breaking on the hut 'cause it's going to wash away the support posts, and so he admitted that maybe I was right about putting it back further, he said but he still doesn't want it up in the canopy. Said he never will sleep up there, so..."
2,6,Joel,"You know, if the sky was blue and I said it was blue he'd say it was red just to disagree. I can't let it bring me down anymore."
2,6,B.B.,"He makes all of these great promises and, and, and of what he's going to do, like catch fish and everything else. He has not performed one thing he said he'd do. He reminds me of a guy that when you buy him for what he's worth and sell him for what he thinks he's worth, you make a million dollars."
2,6,Greg,"Well, I think they knock heads. B.B.'s very strong-willed and Joel is as well. They don't back down from one another and that causes a bit of friction − a bit of chafing if you want to put it in island terms."
2,6,Sean,"I'm definitely catching a fish today. Sea bass or salmon or whatever the hell we can get out of this ocean. Fish is a priority right now. Fish is very much a priority. Now that we have the fire, we need something to cook in it."
2,6,Susan,Sean sits there for five hours and builds a “Super Pole” and doesn't catch anything with it.
2,6,Sean,"Been fishing all day today and still nothing. I don't even get a nibble. So that's, you know, really dissatisfying."
2,6,Susan,"I told him it was a waste of time. (mockingly) “Oh, no, it's not a waste of time!” “Well did you catch any fish?” “No!”"
2,6,Richard,"He's, um, really wanting to get fish. Hadn't been able to bring any in, and I think that was really starting to eat at him."
2,6,Sean,Maybe the area is overfished or something. We'll figure it out sooner or later.
2,6,Joel,"When we get back, we're going to make some rice, we're happy. First thing he does is he washes his T-shirt in the kettle we're going to cook the rice in."
2,6,Gretchen,Every canteen was empty and the sun's going down and it's starting to rain. When are we going to get water? You know.
2,6,Gervase,"If B.B. thinks anybody on our tribe is slacking, he's... the heat is affecting him. Everybody on our tribe is working hard. And, I mean, everybody has different jobs. Building the shelter is probably the hardest job. He took that challenge on so somebody going out there trying to catch some fish might not look that important, but it's just as important."
2,6,B.B.,"I'm not voting when I wash my clothes. No one's going to tell me when I can do stuff like that. First place, this is not a democracy. I'll vote on things that don't matter, but things that matter, uh, and my survival... or, and... my comfort, I'm not going to vote."
2,6,Gervase,"Hmm, sounds tasty!"
2,6,B.B.,"I'm not going to quit, but if I can engineer an escape route for myself and do it right, do it ethically and do it correctly, then, sure, I'll do it."
2,6,Ramona,"I don't agree with that... with quitting. Just as, or engineering something just to save face."
2,6,Gervase,"I think he's trying to save face before getting voted off because I don't think he would have come here if that was the case. Now what's the point of coming all this way, going through all the crap we had to go through to get here, for you to all of a sudden decide that you wanna get voted off?"
2,6,Sean,"Stacey thinks she can do anything just like I do, and she's really did her own. I think what really pulled her through was eating those two bugs in lighting speed, because I think she impressed a lot of people, pulled her own weight. I think that's when she finally got accepted amongst the girls."
2,6,Ramona,"Tribal Council − it's kind of like... judgment day on Earth, kind of, and that's, that's like so daunting You're like, “Whoa!” I mean, you have to stand in judgment of your maker, and in this case, of, like, your fellow tribe members. My length of stay on the island depends on either what, like, somebody thinks of me or what they don't think of me or of my abilities. I'm not exactly a control freak, but I kind of like to be in control of things, and I have no control on whether I stay or go."
2,6,Jenna,"My vote would be I would vote Ramona off because B.B. is such a great wor... gets us up. He... We're moving stuff this morning and everything. I mean, we're getting things done because B.B. is there, too. He's doing that. As soon as we had breakfast, Ramona was back in bed."
2,6,Gervase,"I think it's, uh, likely B.B. will be the first one voted off. I think he pretty much... he dug his own grave. Now he's saying he wants to go. So, if that's what he wants, that's fine."
2,6,B.B.,"The first two people that I would consider voting out of here, beside myself, would be, uh... Joel and, uh... Ramona."
2,6,Gretchen,"Even though know we've only known each other for such short time I think we've bonded already. I think that's how everybody was feeling. Some people, you know, showed it and some people didn't."
2,6,B.B.,"They got to think long and hard before they vote me out, well because I think I contribute a lot. If Gretchen and I would leave this tribe, that'd be like dropping an atomic bomb here."
3,7,Sean,"Fishing is horrible. That saying, “There's a lot of fish in the sea.” Not this sea. They apparently didn't grow up in Pulau Tiga uh, because there is nothing to be caught out there."
3,7,Susan,"As far as the food holding up, uh, I don't... I think we're into Day 7. I lost track, but I know it's starting to whittle down. And I know we got to get fish in here then."
3,7,Kelly,"This is frustrating. I mean, it's the ocean! You think you'd get a fish somehow, but no luck so far. We all thought, “Oh, yeah, you know, we got these traps, we got hooks, we got a raft.” You know, there's no reason why we shouldn't be having big, fat fish for dinner every night, but we're just not. To me, that's kind of like “Oh yeah, woo-hoo, big survivors!” You know?"
3,7,Stacey,I think we've all sort of come to the conclusion that Rudy really needs to get out of here. He just criticizes whatever we're doing. He's hurting morale.
3,7,Kelly,"I think we were all kind of stoked that, you know, yeah, he's an ex-Navy SEAL, we're going to kick ass. But he really hasn't contributed very much. I think is definitely going to influence me the next time I go to Tribal Council. I think it's influencing all of us, you know."
3,7,Susan,"I have conflicts − personality conflicts every day with people. I deal with them, I work with them, I live with them, I go on. I'm gonna do the same thing here: I'm gonna get rid of the weakest member and vote Stacey out. And Stacey's trying to buddy up with everybody because she knows she's the weakest."
3,7,Stacey,"When Kelly, and Sue and I were on the raft we talked about who we'd vote off. Sue initially didn't want to talk about it, which immediately clued me in that she was planning to vote me off, even though we decided to stick together. So now I don't trust her as far as I can throw her, which, according to the group, would be not far."
3,7,Colleen,The oomph is a little gone from our group. I don't know why that is. I think that not eating is a factor of our mood.
3,7,Jenna,"We want food. (chuckles) Gretchen, Colleen and Greg, they were out looking for tapioca so that we could have mashed-potato style tapioca root."
3,7,Gretchen,"Operation: Tapioca has everything to do with finding tapioca, but we find other things on the way, too. (laughs)"
3,7,Colleen,The first time I came upon the mud volcano was with Gretchen and Greg.
3,7,Gretchen,We stopped at the mud volcanoes for a dip. We had a good time.
3,7,Colleen,"We walked out of the woods like, you know, Lord of the Flies, and, uh, I think the others were quite interested in our discovery so we took a group field trip."
3,7,Gervase,"It was a great feeling. It's just like a nice little celebration for everybody. You get together, just get dirty, and have a little fun − have a couple of laughs."
3,7,Jenna,"But it's also just to get away from the daily grind here. I mean, we're going to be here 39 Days. You got to keep yourself happy."
3,7,Rudy,I seen Dirk reading his Bible today. I didn't know he brought a Bible.
3,7,Dirk,"I just need that quiet time, and especially a lot of that quiet time includes just praying and meditating and praising God. That's kind of where I feel like all my strength and energy comes from. My testimony is not something I'm afraid to share, and that's just part of getting to know people and at a deeper and deeper level."
3,7,Susan,"I can only take so much preaching. I went to church. I put my time in. I believe in God and all that, but to constantly everything always come back on to “Jesus, Jesus”... yeah, Dirk's about driving me wild with that."
3,7,Stacey,I think Dirk has a little crush on Kelly. He doesn't have a chance in hell.
3,7,Kelly,"Stacey came up to me, ''“Yeah, I think he likes you.”'' you know. I was just, like, ''“Oh great!”'' you know? I didn't come out here for that, you know? I don't need, we don't need that."
3,7,Dirk,"Kelly's got a serious boyfriend, and unless she tells me otherwise, that's a line I'm not going to cross."
3,7,Kelly,I think he's really sexually frustrated. (10:19 → 10:34 = 15s)
3,7,Kelly,"I'm obviously not a virgin, but if he, uh... that's how he wants to live his life, that's cool. You don't meet too many 23-year-old guys who are virgins."
3,7,Richard,"He's interesting, being a virgin, 23, and not, uh, thinking about crossing that line 'til marriage. Ooh! He's extraordinarily religious, and I don't know that we'd ever be, you know, real close as a result of that because we're on such different ends of the spectrum religiously."
3,7,Dirk,"Rich, you know... homosexual people tend to talk about their homosexuality all the time, and it's really annoying to me. (11:03 → 11:12 = 9s) Maybe that's just me, but if he could cut that out, it'd almost be perfect around camp."
3,7,Gervase,"The thing is this: everybody knew coming in water wasn't my thing − swimming wasn't my thing, and my team knew it from the beginning, and so when we get into any kind of swimming situation, if it's actual swimming, we're gonna be struggling. You know, they have to compensate for me. But that's what a team does."
3,8,Richard,"Yesterday's competition was great. That was the, uh, pulling the treasure up from the water, dragging it in and getting the mask and snorkel. Oh, baby, that made me feel good. I wanted that mask and snorkel from Day 1... to go get, uh, fish."
3,8,Sean,"Rich, he overestimates himself sometimes, and we were kind of thinking that he wasn't going to catch anything. When you snorkel down there, there's nothing you can stab at. We have a good pole. I have my “Superpole”. Uh, which is, you know, it works-- in a Gilligan's Island sort of sense. We got some maggots, we got the “Superpole 2000” and we got the persistence of Dirk and me. We can't lose."
3,8,Richard,"This is a pretty good moment for me, 'cause I knew people were thinking I was just full of caca. It was just... you know, one of those things that I've been talking about fishing, talking about what I've been doing all my life... (20:28 → 20:41 = 13s)"
3,8,Richard,I actually think Sean was kind of sad that I beat him.
3,8,Richard,"Sean said, “Get something that looks like a fish.”"
3,8,Richard,"Finally, when I came up with a third one they said, “Good job, good job!”"
3,8,Sean,"He pulled through. He showed his true colors. He does know how to spear fish. He got us a couple of, uh, manta rays or whatever the hell they were."
3,8,Richard,"My position with the tribe-- it's probably gonna increase as a result of this. I talk about the things that I'm capable of doing and this might give them that “Oh, maybe some of what he's saying is true.”"
3,9,Colleen,We heard the rumor that the other team caught a fish with their spear.
3,9,Joel,"The mask-- that was definitely the key, uh, to them starting to get fish. And that does worry me a little bit 'cause they're going to be eating some protein."
3,9,Gervase,"I would definitely rather have fish than a rat, but... now it doesn't matter-- either or now."
3,9,Jenna,"Ho, I'm so ready to eat rat! I want to gut 'em, bone 'em, and then we'll have, like, some little rat meat in with the rice that we're eating. That would be delicious."
3,9,Greg,I'm not sure exactly what a rat might taste like. Nobody's said anything to me about what it could taste like.
3,9,Gervase,"Anytime anybody can hit one over the head, we're hitting them over the head, too. Gretchen hit one over the head the other night-- last night with the soup spoon."
3,9,Greg,The principle of the trap: This noose is wrapped around the inside of this area here. The bait's in there and is getting tugged out by the rat... (releases trap mechanism) and the noose goes tight.
3,9,Greg,Rats aren't bad. Rats are rats! Questions of edibility only have to do with your perceptions.
3,9,Greg,"I'm concerned that it'll be a bit gamy. We won't have quite the gravy we're looking for, which would really be helpful. Uh, when cooking rats, I would imagine the sauce is of the utmost importance."
3,9,Gervase,"There's plenty of food on the island. You won't starve out here with all these rats, man. There's tons of them and they're everywhere, so... there's definitely stuff to eat out here. I think people would just rather eat some fish instead, that's all."
3,9,Richard,"Today's Immunity Challenge day so we're building a, uh... stretcher. Gotta be a strong one. We don't know for what, but, uh... obviously, it's a competition that's gonna determine who kicks somebody out tonight."
3,9,Susan,"It's important to keep winning these games because for one, you win the immunity. You don't have to go through the brain rush of worrying about kicking somebody off the team."
3,9,Stacey,"In general, we're a really tight group. We all have our individual strengths and we're pulling together. It's just, if we could get Rudy out of here I think we'd be even stronger."
3,9,Colleen,"Right now, I am collecting stuff to build a, um... stretcher."
3,9,Gretchen,"For what, we don't know-- to carry our lightest member and whatever else, and through something or over something. I don't know."
3,9,Joel,"We have some idea, you know. It's going to involve a stretcher and an evacuation or something-- an emergency-type thing."
3,9,Jenna,"We're feeling a little bit defensive, but we're also feeling like we can do it. We can beat them 'cause you got a really light person and a really strong team pulling her."
3,9,Stacey,"Since we lost the challenge today, we go back to the Council tonight. Fun, fun!"
3,9,Richard,"Well, having lost the challenge, we've got to vote somebody out again. That's what happens every time we lose an Immunity Challenge."
3,9,Kelly,"I don't think it's gonna get any easier. You know, every time we go there, it's just gonna suck even more."
3,9,Stacey,"We haven't been in this Council in six days, and in those six days, we've all gotten to know each other pretty well, and I feel bad 'cause I know they're all, you know, as scared and… (sighs) about being, you know, voted off as I am. I thought it was a done deal that Rudy would be the next one off, but it could be me. I don't know."
3,9,Rudy,"It's either going to be me or Stacey, you know, that get voted off. I think the younger people are going to band together. They're going to get rid of me, and then they gotta cutthroat each other. I'm going to vote Stacey out at the Council tonight 'cause I don't like her (chuckles) and I'll never will."
3,9,Susan,I told Stacey I was going to vote for Rudy. But I was thinking about voting for her 'cause she was the weakest. I gotta think of the team; that's what I come here for.
3,9,Richard,"I've kind of prioritized people based on who's contributing, I think, and can contribute most to the competitions. I even wanted to talk with the group about who we were voting for and let's, you know, before we even go, know, so we could talk with the people, but... boy, did that not fly!"
3,9,Kelly,"I don't think anybody's out here to make friends. I'm not out here to make friends. People that you're forming alliances with now, and the people that you're getting along with now are people that are going to have to turn around and vote you, but somebody's gotta go. So, it's just the way it goes."
4,10,Colleen,I'm not a happy camper.
4,10,Gervase,"It was cold, man. It got cold and rained a lot, and everybody got, I mean... everybody was just wet."
4,10,Ramona,"It was long, wet and cold. It was the worst night I've ever slept."
4,10,Greg,"And worst trouble was the bugs-- the bugs love it. Once that rain comes, it's sand flea heaven."
4,10,Gretchen,"I have spent six years at the Air Force Survival School. You know, we learned how to make fires and shelters. When we got here, we argued over where the shelter should be, and everything I've always been taught, you know, you put it off the beach, you get canopy cover, which is your first layer of protection, but we made this huge shelter, which was not comfortable and it's not practical. It's a rain forest, so it was going to pour one of these times, and it poured, and we got soaking wet, and I just thought, “This is ridiculous” you know. And also, the gear is everywhere."
4,10,Gretchen,"I think I am a little frustrated with Joel today because Joel wants to take over, and that's fine, but Joel doesn't know about... where we're going to be the most comfortable, and so, you know, after last night, I thought, “Well, I just can't let this go on anymore.”"
4,10,Gretchen,"If this were, right now, each man for himself, Greg would be the victor. He's relaxed. He's not fighting this. It's not like a battle for him."
4,10,Joel,"Greg's a character, man."
4,10,Colleen,Greg talks into a coconut and thinks it's a phone.
4,10,Greg,"The nature phone is really a way that I kind of keep in touch with the greater, um... the greater spirit out here. You get reception everywhere. You're always incommunicado with everything and anyone, and, uh... you know, it's light, it's quick, it's easy, and it's relatively inexpensive."
4,10,Gretchen,"Greg knows what he's doing-- he kind of manipulates the group, and I think a lot of people don't even realize it's going on. I think most of the people don't even realize it's going on, but in his own way, Greg's the leader."
4,10,Sean,"Sue, she just always keeps working, working, working. You know, it just drives everybody crazy. I mean, the guys were talking about that today. I wish she would slow down for a little bit and just relax."
4,10,Susan,"We're getting by on coconut and rice. You know, whatever we can gather, and we're still not done looking for tapioca or not tapioca. Got to find the tapioca."
4,10,Sean,"I had this vision, and, uh, I thought I'd build myself a bowling alley right about here. That's what I'm doing here, slaving away. (07:15 → 07:24 = 9s) What I think I might do is, I might take some of those coconuts over there-- that are lined up like that-- I might take that bamboo over there and make, like, a little shelf where you can have the extra balls hanging up out there."
4,10,Susan,"Sean's telling me ''“Looking for nuts is a waste of time.”'' But at least you know you can find a nut. Sean sits there for five hours and builds his bowling alley. He could've been all getting nuts or looking for tapioca during the day. I'm tired of feeding people that don't do anything. If we lose tomorrow, I'm voting Sean off."
4,10,Sean,My parents would be so proud!
4,10,Sean,"There's a little bit of conflict of ideas between everybody right now, uh, regarding our next event."
4,10,Richard,"There was conflict there between Dirk and Sue when she was trying to get going and Dirk was saying, “No” and she made fun of his swagger."
4,10,Dirk,"The ideas I didn't like were just some of the things that maybe were a little bit tasteless or... you know, and don't have much class, you know. I believe that class kind of shows itself, and things like... (Kelly talks in front of the group about condoms) I don't know if that has much class, you know. That's not very creative. That's just looking in a bathroom stall wall."
4,10,Richard,"An idea comes up and you can see on people's faces when Sean is negative about it, and then they'll just harp on it and make it... want it even more."
4,10,Sean,"I just wish people would, you know, see things my way, in terms of, I think that what they want is something really spectacular, and I think that we could work through the night and build something really spectacular that would ensure us getting that crate."
4,10,Richard,"What's happening in my head is, “Here's the conflict. Here comes the dynamics that suck. Here come the people that just shout and don't listen. Here comes the negativity, and here comes the crap.” (12:49 → 13:01 = 12s)"
4,10,Richard,"Well, I know what the resolution to the conflict that exists right now would be at home, but I'm actually planning something different from that that might benefit me, and it's a little sneaky. (laughs) I think I'm going to handle this by beginning to develop alliances with some folks to ensure that I move into the next round."
4,10,Jenna,"I don't think Ramona's pulling her weight. I think that she really thought she could handle this, and now she's finding that I don't think she... she can as much as she thought."
4,10,Ramona,"Yesterday was bad, bad night."
4,10,Greg,The only thing Ramona can be is herself.
4,10,Ramona,"I'm a mama's girl. Well, I'm mama's only child, so..."
4,10,Greg,She has great gifts to offer. Maybe she will be able to. Maybe she won't.
4,10,Ramona,"But I can't do any more than I can do, and I'm not gonna try and bust my ass and try and prove something."
4,10,Gervase,"Every chance she got, she was just making it worse. I tried to pull her to the side and just point certain things out to her and try to get her to correct that situation."
4,11,Dirk,I really like our slogan-- I think it's going to grab someone's attention. We're giving it our best shot. We want to win.
4,11,Gervase,"Work-wise, Ramona seemed today to be, “Oh, I'll help here, I'll help here. I'll do this, I'll do that.”"
4,11,Ramona,"I feel more like a part of the group, and I don't know if that's because I'm feeling better and therefore I'm working more and harder, or if it's because, like, I've started to assert myself. I don't know. I guess it's a combination."
4,11,Colleen,"I didn't like the final decision for the, for the S.O.S. game. I thought it was quite silly-- a smiley face? Give me a break!"
4,11,Gretchen,I didn't expect us to win anyway.
4,11,Ramona,"I'm down. I hate to lose. It sucks! But tomorrow's the one that counts, so... trying to look up."
4,11,Kelly,The whole idea of an alliance is to make sure we're all... voting the same way.
4,11,Richard,"So the, um... alliances have begun, and I didn't even have to do much about it."
